"model","lambda_rule","fold","validation_year","term","coefficient","lambda"
"pooled_lasso_state_interactions","min",1,2017,"state_average_student_debt_per_borrower:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_avg_in_state_tuition:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_pct_age_18_24:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_pct_age_65plus:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_avg_household_size:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_real_median_rent_2025_usd:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_real_median_home_price_2025_usd:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_home_price_to_income_ratio:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_rental_vacancy_rate:FL",0,0.276627216886791
"pooled_lasso_state_interactions","min",1,2017,"state_real_home_price_growth_pct:FL",-0.407305545546753,0.276627216886791
"pooled_lasso_state_interactions","1se",1,2017,"(Intercept)",39.2439235160136,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"control_state_florida",2.18702910596722,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"control_time_index",-1.98021609352522,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_log_estimated_population",-8.00990107291277,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_population_density_per_sq_mile",-2.755539205331,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_contributing_counties",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_contains_split_county_flag",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_housing_units_per_1000_residents",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_permits_per_1000_housing_units",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_multifamily_permit_share_pct",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_birth_rate_per_1000",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_death_rate_per_1000",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_international_migration_rate_per_1000",-2.30842545494074,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_domestic_migration_rate_per_1000",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_group_quarters_per_1000_residents",1.75810980666956,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_population_growth_rate_pct",-1.07264148130408,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_housing_supply_growth_rate_pct",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_poverty_all_pct",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_poverty_child_pct",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_real_median_household_income_2025_usd",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_real_per_capita_personal_income_2025_usd",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_unemployment_rate_pct",-2.29774051075948,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_high_school_graduate_pct",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_homeownership_rate_pct",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_housing_cost_burdened_households_pct",4.17200749866838,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_income_inequality_ratio",-2.94831953144869,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_annual_hpi_change_pct",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_real_gdp_per_capita_2017_usd",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_real_minimum_wage_2025_usd",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_medicaid_expansion",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_hic_temporary_beds_per_10k",5.55885483239586,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_hic_psh_beds_per_10k",13.3610278847885,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_homeless_funding_per_capita",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_anticamping_strictness",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_tanf_max_benefit_3person",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_ssi_state_supplement",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_labor_force_participation",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_substance_use_disorder_rate",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_serious_mental_illness_rate",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_uninsured_rate",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_average_student_debt_per_borrower",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_avg_in_state_tuition",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_pct_age_18_24",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_pct_age_65plus",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_avg_household_size",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_real_median_rent_2025_usd",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_real_median_home_price_2025_usd",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_home_price_to_income_ratio",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_rental_vacancy_rate",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"state_real_home_price_growth_pct",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_log_estimated_population:FL",-3.6465067596466,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_population_density_per_sq_mile:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_contributing_counties:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_contains_split_county_flag:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_housing_units_per_1000_residents:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_permits_per_1000_housing_units:FL",0,0.927144513439603
"pooled_lasso_state_interactions","1se",1,2017,"coc_multifamily_permit_share_pct:FL",0,0.927144513439603
