"sample_id","model","lambda_rule","term","role","n_folds","n_selected","selection_freq","mean_coef","sd_coef","mean_coef_when_selected","n_positive","n_negative","sign_consistency","dominant_sign"
"S0_primary","pooled_lasso_state_interactions","1se","state_real_median_rent_2025_usd:FL","penalized_state_interaction",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","state_real_minimum_wage_2025_usd","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","state_real_minimum_wage_2025_usd:FL","penalized_state_interaction",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","state_rental_vacancy_rate","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","state_ssi_state_supplement","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","state_ssi_state_supplement:FL","penalized_state_interaction",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","state_tanf_max_benefit_3person","penalized_predictor",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","1se","state_tanf_max_benefit_3person:FL","penalized_state_interaction",8,0,0,0,0,NA,0,0,NA,NA
"S0_primary","pooled_lasso_state_interactions","min","coc_hic_psh_beds_per_10k","penalized_predictor",8,8,1,13.5563607636131,2.45470462044991,13.5563607636131,8,0,1,"positive"
"S0_primary","pooled_lasso_state_interactions","min","coc_hic_temporary_beds_per_10k","penalized_predictor",8,8,1,8.17802077864963,1.52593321161461,8.17802077864963,8,0,1,"positive"
"S0_primary","pooled_lasso_state_interactions","min","coc_log_estimated_population","penalized_predictor",8,8,1,-7.13026440547958,0.895528645277491,-7.13026440547958,0,8,1,"negative"
"S0_primary","pooled_lasso_state_interactions","min","coc_housing_cost_burdened_households_pct","penalized_predictor",8,8,1,5.79366638885814,1.40063560219955,5.79366638885814,8,0,1,"positive"
"S0_primary","pooled_lasso_state_interactions","min","coc_population_density_per_sq_mile","penalized_predictor",8,8,1,-5.73412260347305,0.936978539113651,-5.73412260347305,0,8,1,"negative"
"S0_primary","pooled_lasso_state_interactions","min","control_state_florida","unpenalized_control",8,8,1,-5.15184072679701,6.01197746203678,-5.15184072679701,2,6,0.75,"negative"
"S0_primary","pooled_lasso_state_interactions","min","coc_hic_temporary_beds_per_10k:FL","penalized_state_interaction",8,8,1,-4.87010071702707,1.11973985083821,-4.87010071702707,0,8,1,"negative"
"S0_primary","pooled_lasso_state_interactions","min","coc_homeownership_rate_pct:FL","penalized_state_interaction",8,8,1,2.58683144884184,0.632903002222128,2.58683144884184,8,0,1,"positive"
"S0_primary","pooled_lasso_state_interactions","min","coc_population_growth_rate_pct","penalized_predictor",8,8,1,-1.42217614095298,0.56565436185185,-1.42217614095298,0,8,1,"negative"
"S0_primary","pooled_lasso_state_interactions","min","coc_real_gdp_quantity_index:FL","penalized_state_interaction",8,8,1,-1.34999226466228,0.63913316617122,-1.34999226466228,0,8,1,"negative"
"S0_primary","pooled_lasso_state_interactions","min","coc_real_gdp_quantity_index","penalized_predictor",8,8,1,1.34187739753729,1.00640575022939,1.34187739753729,8,0,1,"positive"
"S0_primary","pooled_lasso_state_interactions","min","coc_income_inequality_ratio:FL","penalized_state_interaction",8,8,1,-1.03844770619508,0.396601315575157,-1.03844770619508,0,8,1,"negative"
"S0_primary","pooled_lasso_state_interactions","min","coc_international_migration_rate_per_1000","penalized_predictor",8,8,1,-0.955260799722676,0.547401138884477,-0.955260799722676,0,8,1,"negative"
"S0_primary","pooled_lasso_state_interactions","min","coc_annual_hpi_change_pct","penalized_predictor",8,8,1,-0.682295433985285,0.406752645806554,-0.682295433985285,0,8,1,"negative"
"S0_primary","pooled_lasso_state_interactions","min","coc_contains_split_county_flag:FL","penalized_state_interaction",8,8,1,-0.403741752233657,0.334663062674156,-0.403741752233657,0,8,1,"negative"
"S0_primary","pooled_lasso_state_interactions","min","control_time_index","unpenalized_control",8,8,1,-0.326405934585903,0.928061248739454,-0.326405934585903,5,3,0.625,"positive"
"S0_primary","pooled_lasso_state_interactions","min","coc_group_quarters_per_1000_residents:FL","penalized_state_interaction",8,7,0.875,-0.651621590205127,0.648464527758677,-0.744710388805859,0,7,1,"negative"
