"feature_set","architecture","validation_year","seed","n","rmse","mae","r2","chosen_epochs","inner_best_val_loss"
"factors","class_16_8",2024,31337,70,11.0763540912467,8.37955482167365,0.807656766593286,64,0.264283955097198
"factors","class_16_8",2025,10,70,11.6639758271342,8.55450423906328,0.774393538588295,73,0.158021658658981
"factors","class_16_8",2025,42,70,13.3083872321382,10.536066067483,0.706296467585647,9,0.377805322408676
"factors","class_16_8",2025,123,70,12.4196663559094,9.90044879932147,0.744213175714127,10,0.306839764118195
"factors","class_16_8",2025,2024,70,11.361795922977,8.09535833638952,0.785931739217231,22,0.46663436293602
"factors","class_16_8",2025,31337,70,10.840655735628,8.26008624741199,0.80511903673744,15,0.19383205473423
"factors","class_16_8_drop",2017,10,68,17.0275782664476,11.27509892715,0.471531046106568,159,0.139500498771667
"factors","class_16_8_drop",2017,42,68,18.1086707635512,13.3166529574366,0.402295047857396,92,0.191235184669495
"factors","class_16_8_drop",2017,123,68,15.9654447973054,10.9477430913493,0.53540369292707,153,0.114843308925629
"factors","class_16_8_drop",2017,2024,68,13.0969572615056,8.61950954049189,0.687352810463193,65,0.122132733464241
"factors","class_16_8_drop",2017,31337,68,14.4680611249243,10.6309640378928,0.618465005045797,117,0.190116539597511
"factors","class_16_8_drop",2018,10,69,15.4810090460084,9.3998994113286,0.612519238002869,99,0.260591059923172
"factors","class_16_8_drop",2018,42,69,17.4183676172234,11.6183674523728,0.509468929959748,40,0.392149120569229
"factors","class_16_8_drop",2018,123,69,15.8881609532784,9.16194528313983,0.591869663002137,139,0.229260370135307
"factors","class_16_8_drop",2018,2024,69,14.4256578802863,9.96371192346433,0.66354818709997,75,0.203991577029228
"factors","class_16_8_drop",2018,31337,69,15.626219917931,10.8322824227086,0.605216056816559,153,0.232377842068672
"factors","class_16_8_drop",2019,10,69,15.7157363603516,11.5680349553322,0.576231499342526,46,0.287391602993011
"factors","class_16_8_drop",2019,42,69,16.3268012719469,11.3232126929863,0.54263659166107,72,0.379758477210999
"factors","class_16_8_drop",2019,123,69,16.853626120657,11.1553715692921,0.512644453407199,35,0.351714879274368
"factors","class_16_8_drop",2019,2024,69,15.0638852413484,10.8198661229954,0.610656257209544,37,0.242936506867409
"factors","class_16_8_drop",2019,31337,69,15.960776416914,10.4007154566407,0.562913663691337,95,0.302583783864975
"factors","class_16_8_drop",2020,10,70,18.4166431652083,12.3171396703792,0.388037994623708,55,0.332093983888626
"factors","class_16_8_drop",2020,42,70,13.3121435040644,9.11543385444811,0.680258142556548,68,0.332689046859741
"factors","class_16_8_drop",2020,123,70,13.3724924752111,8.88107845802944,0.677352550326746,66,0.367906183004379
"factors","class_16_8_drop",2020,2024,70,14.8463796945882,11.122629885736,0.602310028983592,13,0.290991276502609
"factors","class_16_8_drop",2020,31337,70,11.8559622533828,8.29438960200245,0.746383719974276,108,0.290171712636948
"factors","class_16_8_drop",2022,10,70,12.9585460398357,9.35889606714777,0.725316808366811,32,0.394347697496414
"factors","class_16_8_drop",2022,42,70,15.0144910300794,11.1972991761214,0.631242584488899,25,0.304911673069
"factors","class_16_8_drop",2022,123,70,13.3930392943043,9.39224310510868,0.706588035657673,35,0.354182064533234
"factors","class_16_8_drop",2022,2024,70,14.1598586276589,10.2535409255073,0.672027547348414,15,0.331135958433151
"factors","class_16_8_drop",2022,31337,70,13.0707002092433,9.08286907015641,0.720541553582941,47,0.270388185977936
"factors","class_16_8_drop",2023,10,69,15.9408819470874,10.7330289894701,0.549949669894672,37,0.21942326426506
